주,품목,단위,가격,전주비,전월비,전년비
1주,"돼지고기(목살,상등급)",1근(600g),"12,000", 0, 0," 1,000"
1주,"돼지고기(삼겹살,상등급)",1근(600g),"15,000"," 1,000", 0," 2,000"
1주,닭고기,1kg,"5,500", 200, 800," 1,200"
2주,"소고기(등심,A1+)",1근(600g),"70,000", 0, 0," 5,000"
2주,"소고기(양지(국거리),A1+)",1근(600g),"33,000", 0, 0, 0
2주,"소고기(홍두깨,A1+)",1근(600g),"33,000", 0, 0, 0
2주,"소고기(우둔살,A1+)",1근(600g),"30,000", 0, 0, 0
2주,"소고기(살치살,A1+)",1근(600g),"70,000", 0, 0, 0
2주,"소고기(차돌박이,A1+)",1근(600g),"30,000", 0, 0, 0
2주,"돼지고기(목살,상등급)",1근(600g),"12,000", 0, 0," 1,000"
2주,"돼지고기(삼겹살,상등급)",1근(600g),"15,000", 0, 0," 2,000"
2주,닭고기,1kg,"5,700", 200, 400," 1,700"
3주,"소고기(등심,A1+)",1근(600g),"75,000"," 5,000"," 5,000"," 10,000"
3주,"소고기(양지(국거리),A1+)",1근(600g),"33,000", 0, 0, 0
3주,"소고기(홍두깨,A1+)",1근(600g),"33,000", 0, 0, 0
3주,"소고기(우둔살,A1+)",1근(600g),"30,000", 0, 0, 0
3주,"소고기(살치살,A1+)",1근(600g),"80,000"," 10,000"," 10,000"," 10,000"
3주,"소고기(차돌박이,A1+)",1근(600g),"33,000"," 3,000"," 3,000"," 3,000"
3주,"돼지고기(목살,상등급)",1근(600g),"12,000", 0, 0," 1,000"
3주,"돼지고기(삼겹살,상등급)",1근(600g),"15,000", 0, 0," 2,000"
3주,닭고기,1kg,"5,700", 0, 400," 1,700"
주,품목,단위,가격,전주비,전월비,전년비
-,-,-,수산물,-,-,-
1주,갈치(生),1마리(500g),"20,000", 0, 0, 0
1주,병어,1마리(500g),"12,000", 0, 0, 0
1주,가자미(호시),1마리(中자),"7,000", 0, 0, 0
1주,부세조기(중국산),3마리(300g),"8,000", 0, 0, 0
1주,연자돔(제주산),1마리(500g),"10,000", 0, 0, 0
1주,고등어,1마리(500g),"5,000", 0, 0, 0
1주,고등어(자반),1손(1kg),"8,000", 0, 0, 0
1주,삼치,1마리(500g),"10,000", 0, 0," 2,000"
1주,오징어,1마리(30cm),"5,000", 0, 0," 1,000"
1주,꽁치(냉동),1마리(20cm),"1,500", 0, 0, 500
1주,민어,1마리(500g),"10,000", 0, 0, 0
1주,아구,1마리(2kg),"15,000", 0, 0, 0
1주,우럭,1마리(300g),"9,000", 0, 0," 2,000"
1주,대구,1마리(大),"25,000", 0, 0, -
1주,생태,1마리(大),"10,000", 0, 0, 0
1주,동태,1kg,"8,000", 0, 0, 0
1주,낙지,1코,"20,000"," 3,000", 0, 0
1주,새우,1kg,"15,000", 0, 0, 0
1주,"암꽃게(生,상품)",1kg,"50,000", 0, 0, -
1주,"수꽃게(生,상품)",1kg,"30,000", 0, 0, -
1주,"암꽃게(급냉,상품)",1kg,"50,000", 0, 0," 10,000"
1주,"수꽃게(급냉,상품)",1kg,"20,000", 0, 0," 10,000"
1주,통영굴,1kg,"18,000", 0," 2,000"," 3,000"
1주,조개(바지락),1kg,"7,000", 0, 0," 1,000"
1주,꼬막(상품),1kg,"12,000", 0, 0," 2,000"
1주,모시조개,1kg,"15,000", 0, 0," 3,000"
1주,미더덕,1kg,"15,000", 0, 0, 0
1주,홍합,1kg,"2,000", 0, 0," 1,000"
2주,갈치(生),1마리(500g),"20,000", 0, 0, 0
2주,병어,1마리(500g),"12,000", 0, 0, 0
2주,가자미(호시),1마리(中자),"7,000", 0, 0, 0
2주,부세조기(중국산),3마리(300g),"8,000", 0, 0, 0
2주,연자돔(제주산),1마리(500g),"10,000", 0, 0, 0
2주,고등어,1마리(500g),"5,000", 0, 0, 0
2주,고등어(자반),1손(1kg),"8,000", 0, 0, 0
2주,삼치,1마리(500g),"10,000", 0, 0," 2,000"
2주,오징어,1마리(30cm),"5,000", 0, 0," 1,000"
2주,꽁치(냉동),1마리(20cm),"1,500", 0, 0, 500
2주,민어,1마리(500g),"10,000", 0, 0, 0
2주,아구,1마리(2kg),"15,000", 0, 0, 0
2주,우럭,1마리(300g),"9,000", 0, 0," 2,000"
2주,대구,1마리(大),"25,000", 0, 0, -
2주,생태,1마리(大),"10,000", 0, 0, 0
2주,동태,1kg,"8,000", 0, 0, 0
2주,낙지,1코,"18,000"," 2,000"," 3,000"," 3,000"
2주,새우,1kg,"15,000", 0, 0, 0
2주,"암꽃게(급냉,상품)",1kg,"50,000", 0, 0," 10,000"
2주,"수꽃게(급냉,상품)",1kg,"20,000", 0, 0," 10,000"
2주,통영굴,1kg,"18,000", 0, 0," 3,000"
2주,조개(바지락),1kg,"7,000", 0, 0," 1,000"
2주,꼬막(상품),1kg,"12,000", 0, 0," 2,000"
2주,모시조개,1kg,"15,000", 0, 0," 3,000"
2주,미더덕,1kg,"15,000", 0, 0, 0
2주,홍합,1kg,"2,000", 0, 0, 0
3주,갈치(生),1마리(500g),"20,000", 0, 0, 0
3주,병어,1마리(500g),"12,000", 0, 0, 0
3주,가자미(호시),1마리(中자),"7,000", 0, 0, 0
3주,부세조기(중국산),3마리(300g),"8,000", 0, 0, 0
3주,연자돔(제주산),1마리(500g),"10,000", 0, 0, 0
3주,고등어,1마리(500g),"5,000", 0, 0, 0
3주,고등어(자반),1손(1kg),"8,000", 0, 0, 0
3주,삼치,1마리(500g),"10,000", 0, 0," 2,000"
3주,오징어,1마리(30cm),"5,000", 0, 0," 1,000"
3주,꽁치(냉동),1마리(20cm),"1,500", 0, 0, 0
3주,민어,1마리(500g),"10,000", 0, 0, 0
3주,아구,1마리(2kg),"15,000", 0, 0, 0
3주,우럭,1마리(300g),"9,000", 0, 0," 2,000"
3주,생태,1마리(大),"10,000", 0, 0, 0
3주,동태,1kg,"8,000", 0, 0, 0
3주,낙지,1코,"15,000"," 3,000", 0," 2,000"
3주,새우,1kg,"15,000", 0, 0, 0
3주,"암꽃게(급냉,상품)",1kg,"50,000", 0, 0," 10,000"
3주,"수꽃게(급냉,상품)",1kg,"20,000", 0, 0," 10,000"
3주,통영굴,1kg,"18,000", 0, 0," 3,000"
3주,조개(바지락),1kg,"7,000", 0, 0," 1,000"
3주,꼬막(상품),1kg,"12,000", 0, 0," 2,000"
3주,모시조개,1kg,"15,000", 0, 0," 3,000"
3주,미더덕,1kg,"15,000", 0, 0, 0
3주,홍합,1kg,"2,000", 0, 0, 0
주,품목,단위,가격,전주비,전월비,전년비
-,-,-,건어물,-,-,-
1주,세멸치(지리멸치),1.5kg(상품),"40,000", 0, 0," 10,000"
1주,자멸치(가이리),1.5kg(특품),"30,000", 0, 0, 0
1주,햇 중멸치(오사리 주바다시),1.5kg(상품),"25,000", 0, 0, 0
1주,죽방멸치,1.5kg(상품),"30,000", 0, 0," 10,000"
1주,멸치,1.5kg(상품),"30,000", 0, 0," 10,000"
1주,다시멸치,1.5kg(상품),"20,000", 0, 0," 3,000"
1주,다시멸치,1.5kg(중품),"15,000", 0, 0, 0
1주,건오징어,1축(20마리),"120,000", 0, 0, 0
1주,진미(오징어채),1kg(상품),"16,000", 0, 0," 6,000"
1주,김(재래),1속(상품),"10,000", 0, 0," 2,000"
1주,돌김,1속(상품),"30,000", 0, 0," 5,000"
1주,파래김,1속(상품),"5,000", 0, 0, 0
1주,북어(대태),10마리(상품),"60,000", 0, 0, 0
1주,건미역,1kg(상품),"13,000", 0, 0, 0
1주,건다시마,1kg(상품),"13,000", 0, 0, 0
1주,굴비,10마리(중품),"60,000", 0, 0, 0
2주,세멸치(지리멸치),1.5kg(상품),"40,000", 0, 0," 10,000"
2주,자멸치(가이리),1.5kg(특품),"30,000", 0, 0, 0
2주,햇 중멸치(오사리 주바다시),1.5kg(상품),"25,000", 0, 0, 0
2주,죽방멸치,1.5kg(상품),"30,000", 0, 0," 10,000"
2주,멸치,1.5kg(상품),"30,000", 0, 0," 10,000"
2주,다시멸치,1.5kg(상품),"20,000", 0, 0," 3,000"
2주,다시멸치,1.5kg(중품),"15,000", 0, 0, 0
2주,건오징어,1축(20마리),"120,000", 0, 0, 0
2주,진미(오징어채),1kg(상품),"16,000", 0, 0," 6,000"
2주,김(재래),1속(상품),"10,000", 0, 0," 2,000"
2주,돌김,1속(상품),"30,000", 0, 0," 5,000"
2주,파래김,1속(상품),"5,000", 0, 0, 0
2주,북어(대태),10마리(상품),"60,000", 0, 0, 0
2주,건미역,1kg(상품),"13,000", 0, 0, 0
2주,건다시마,1kg(상품),"13,000", 0, 0, 0
2주,굴비,10마리(중품),"60,000", 0, 0, 0
3주,세멸치(지리멸치),1.5kg(상품),"40,000", 0, 0," 10,000"
3주,자멸치(가이리),1.5kg(특품),"30,000", 0, 0, 0
3주,햇 중멸치(오사리 주바다시),1.5kg(상품),"25,000", 0, 0, 0
3주,죽방멸치,1.5kg(상품),"30,000", 0, 0," 10,000"
3주,멸치,1.5kg(상품),"30,000", 0, 0," 10,000"
3주,다시멸치,1.5kg(상품),"20,000", 0, 0," 3,000"
3주,다시멸치,1.5kg(중품),"15,000", 0, 0, 0
3주,건오징어,1축(20마리),"120,000", 0, 0, 0
3주,진미(오징어채),1kg(상품),"16,000", 0, 0," 6,000"
3주,김(재래),1속(상품),"10,000", 0, 0," 2,000"
3주,돌김,1속(상품),"30,000", 0, 0," 5,000"
3주,파래김,1속(상품),"5,000", 0, 0, 0
3주,북어(대태),10마리(상품),"60,000", 0, 0, 0
3주,건미역,1kg(상품),"13,000", 0, 0, 0
3주,건다시마,1kg(상품),"13,000", 0, 0, 0
3주,굴비,10마리(중품),"60,000", 0, 0, 0
주,품목,단위,가격,전주비,전월비,전년비
-,-,-,견과류,-,-,-
1주,깐은행,1되(1kg),"12,000", 0, 0, 0
1주,밤,1되(800g),"6,000", 0, 0," 4,000"
1주,대추,1되(400g),"8,000", 0, 0," 3,000"
1주,땅콩(볶음),1되(600g),"11,000", 0, 0," 2,000"
1주,땅콩(생),1되(600g),"10,000", 0, 0," 2,000"
1주,호두(깐),1되(400g),"40,000", 0, 0, 0
1주,잣,1되(600g),"60,000", 0, 0," 18,000"
1주,아몬드(미국산),1되(400g),"6,000", 0, 0, 0
1주,해바라기씨(미국산),1되(600g),"3,000", 0, 0, 0
1주,호박씨(중국산),1되(600g),"5,000", 0, 0, 0
2주,깐은행,1되(1kg),"12,000", 0, 0, 0
2주,밤,1되(800g),"6,000", 0, 0," 4,000"
2주,대추,1되(400g),"8,000", 0, 0," 3,000"
2주,땅콩(볶음),1되(600g),"11,000", 0, 0," 2,000"
2주,땅콩(생),1되(600g),"10,000", 0, 0," 2,000"
2주,호두(깐),1되(400g),"40,000", 0, 0, 0
2주,잣,1되(600g),"60,000", 0, 0," 18,000"
2주,아몬드(미국산),1되(400g),"6,000", 0, 0, 0
2주,해바라기씨(미국산),1되(600g),"3,000", 0, 0, 0
2주,호박씨(중국산),1되(600g),"5,000", 0, 0, 0
3주,깐은행,1되(1kg),"12,000", 0, 0, 0
3주,밤,1되(800g),"6,000", 0, 0," 4,000"
3주,대추,1되(400g),"8,000", 0, 0," 3,000"
3주,땅콩(볶음),1되(600g),"11,000", 0, 0," 2,000"
3주,땅콩(생),1되(600g),"10,000", 0, 0," 2,000"
3주,호두(깐),1되(400g),"40,000", 0, 0, 0
3주,잣,1되(600g),"60,000", 0, 0," 18,000"
3주,아몬드(미국산),1되(400g),"6,000", 0, 0, 0
3주,해바라기씨(미국산),1되(600g),"3,000", 0, 0, 0
3주,호박씨(중국산),1되(600g),"5,000", 0, 0, 0
주,품목,단위,가격,전주비,전월비,전년비
-,-,-,과일류,-,-,-
1주,배(신고),1개(중품),"4,000", 0, 0, 0
1주,"사과(부사, 홍로)",1개(중품),"3,500", 0, 0, 500
1주,수박,1통(6kg),"26,000", 0," 1,000"," 6,000"
1주,방울토마토,1kg,"14,000"," 4,000"," 4,000", -
1주,참외,1개,"3,000", 0, 0, -
1주,딸기,1팩(500g),"5,000", 0," 7,000"," 2,000"
1주,파인애플,1개,"5,000", 0," 1,000"," 1,000"
1주,감귤,10개,"3,000", 0, 0," 1,000"
1주,키위(그린),8개,"6,000"," 2,000"," 2,000"," 2,000"
1주,키위(골드),7개,"10,000", 0, 0, 0
1주,레몬,6개,"5,000", 0, 0," 1,000"
1주,메론,1통,"10,000", 0, 0," 2,000"
1주,바나나(수입),1다발,"5,000", 0, 0, 0
2주,배(신고),1개(중품),"4,000", 0, 0, 0
2주,"사과(부사, 홍로)",1개(중품),"3,500", 0, 0, 500
2주,수박,1통(6kg),"26,000", 0, 0," 6,000"
2주,방울토마토,1kg,"14,000", 0," 4,000", -
2주,참외,1개,"3,000", 0, 0, 500
2주,딸기,1팩(500g),"5,000", 0," 3,000"," 1,000"
2주,파인애플,1개,"5,000", 0," 1,000"," 1,000"
2주,키위(그린),8개,"6,000", 0," 2,000"," 2,000"
2주,키위(골드),7개,"10,000", 0, 0, 0
2주,레몬,6개,"5,000", 0, 0," 1,000"
2주,메론,1통,"10,000", 0, 0," 2,000"
2주,바나나(수입),1다발,"5,000", 0, 0, 0
3주,배(신고),1개(중품),"4,000", 0, 0, 0
3주,"사과(부사, 홍로)",1개(중품),"3,500", 0, 0, 500
3주,수박,1통(6kg),"26,000", 0, 0," 6,000"
3주,방울토마토,1kg,"14,000", 0," 4,000", -
3주,참외,1개,"3,000", 0, 0, 0
3주,딸기,1팩(500g),"4,000"," 1,000"," 1,000"," 1,000"
3주,파인애플,1개,"5,000", 0, 0," 1,000"
3주,키위(그린),8개,"6,000", 0," 2,000"," 2,000"
3주,키위(골드),7개,"10,000", 0, 0, 0
3주,레몬,6개,"5,000", 0, 0," 1,000"
3주,메론,1통,"10,000", 0, 0," 2,000"
3주,바나나(수입),1다발,"5,000", 0, 0, 0
